"CRN","AVOID_MAN_CD","BODY_TYPE","COMM_VEH","DAMAGE_IND","DVR_PRES_IND","EMERG_VEH_USE_CD","GRADE","IMPACT_POINT","INS_IND","MAKE_CD","MODEL_YR","NM_AT_INTERSECTION","NM_CROSSING_TCD","NM_DISTRACTION","NM_IN_CROSSWALK","NM_LIGHTING","NM_POWERED","NM_REFLECT","OWNER_DRIVER","PARTIAL_VIN","PEOPLE_IN_UNIT","PRIN_IMP_PT","RDWY_ALIGNMENT","SPECIAL_USAGE","TOW_IND","TRAVEL_DIRECTION","TRAVEL_SPD","TRL_VEH_CNT","UNDER_RIDE_IND","UNIT_NUM","UNIT_TYPE","VEH_COLOR_CD","VEH_MOVEMENT","VEH_POSITION","VEH_REG_STATE","VEH_ROLE","VEH_TYPE","VINA_BODY_TYPE_CD"
"2020029992","","69","N","3","1","","1","12","Y","NISS","2017","","","","","","","","01","KNMAT2MVXHP","1","","1","00","Y","E","070","","","1","01","07","01","03","PA","1","06","T"
"2020039353","","02","N","3","4","","1","12","U","AUDI","2013","","","","","","","","00","WAULFAFR2DA","1","","1","00","Y","S","025","0","","1","05","12","01","99","NJ","1","01","PCP"
"2020009495","","39","Y","2","1","","1","06","Y","NFLY","2004","","","","","","","","05","5FYD2LL174U","7","","1","00","N","N","000","0","","3","01","03","03","09","PA","2","03","TBU"
"2020049009","","","","","","","","","","","","U","01","99","0","U","01","U","","","1","","","","","","","","","2","30","","99","99","","2","31",""
"2020013138","","15","N","3","1","","1","06","Y","NISS","2016","","","","","","","","02","KNMAT2MT2GP","1","","1","00","Y","E","000","","","2","01","07","03","04","PA","2","06","T4W"
"2020059225","","09","N","9","4","","1","99","U","","","","","","","","","","99","","0","","1","00","N","S","000","","","2","05","02","03","03","ZZ","2","01",""
"2020024778","","15","N","3","1","","1","06","Y","FORD","2012","","","","","","","","98","1FMCU0C72CK","1","","1","00","Y","E","999","0","","2","01","01","01","06","PA","2","06","T4W"
"2020063046","","39","Y","1","1","","1","12","U","NFLY","2009","","","","","","","","02","5FYH4FV159B","1","","1","00","N","N","999","","","2","01","03","01","01","PA","2","03","TBU"
"2020046366","","04","N","3","1","","1","06","Y","TOYT","2010","","","","","","","","01","4T1BK3EK6AU","2","","1","00","Y","E","000","","","2","01","07","03","04","PA","2","01","P4D"
"2020023554","","09","N","0","3","","1","10","N","OTHR","","","","","","","","","99","","1","","1","00","N","E","010","0","","1","05","99","01","99","PA","1","01",""
"2020025552","","69","N","2","1","","1","02","Y","CHEV","2018","","","","","","","","01","2GNAXHEV7J6","1","","1","00","N","W","999","","","2","01","12","01","03","PA","2","06","T"
"2020005501","","04","N","3","1","","2","11","Y","ACUR","2006","","","","","","","","02","99999999999","3","","3","00","Y","S","085","","","1","01","07","17","10","SC","1","01","P4D"
"2020009776","","04","N","9","2","","1","06","Y","NISS","2004","","","","","","","","","1N4BA41E94C","0","","1","00","N","","000","0","","2","02","08","06","01","PA","2","01","P4D"
"2020059855","","15","N","3","3","","1","02","N","DODG","2005","","","","","","","","01","1D4HB38N75F","1","","1","00","Y","N","025","","","1","05","05","15","98","PA","1","06","T4W"
"2020036861","","41","N","2","1","","2","06","Y","CHEV","2004","","","","","","","","02","1GCHG39U841","1","","3","46","N","E","050","","","2","01","03","17","03","PA","2","07","TEC"
"2020034782","","15","N","2","1","","1","03","U","JEEP","2005","","","","","","","","01","1J4GL48K35W","2","","1","00","N","E","035","0","","2","01","09","01","98","PA","2","06","T4W"
"2020037770","","15","N","3","1","","1","09","Y","CHEV","2009","","","","","","","","01","1GNFK23099R","1","","1","00","Y","W","999","0","","2","01","05","01","03","NJ","2","06","T4W"
"2020027989","","04","N","9","2","","1","06","Y","HOND","2006","","","","","","","","","1HGCM66516A","0","","1","99","N","","000","","","4","02","02","06","98","PA","2","01","P4D"
"2020042330","","04","N","3","1","","1","08","Y","HOND","2009","","","","","","","","01","1HGFA16529L","1","","1","00","Y","S","020","","","2","01","12","12","03","PA","2","01","P4D"
"2020020111","","05","N","3","1","","1","11","Y","TOYT","2013","","","","","","","","01","JTDKTUD30DD","1","","1","00","Y","N","005","0","","2","01","07","18","06","PA","3","01","P4H"
"2020022539","","09","N","3","1","","1","12","Y","TOYT","2019","","","","","","","","01","4T1B31HK5KU","1","","1","00","Y","N","045","","","1","01","07","01","03","PA","1","01","P"
"2020020540","","15","N","2","1","","1","06","Y","DODG","2000","","","","","","","","01","1B4HS28N8YF","1","","1","00","N","S","045","0","","2","01","12","01","99","PA","2","06","T4W"
"2020020544","","40","N","1","1","","1","12","Y","HOND","2002","","","","","","","","01","2HKRL180X2H","1","","1","46","N","S","030","0","","1","01","04","01","06","PA","1","07","TSV"
"2020021261","","15","N","9","1","","1","12","Y","KIA","2007","","","","","","","","01","KNDJF724977","1","","1","00","N","E","025","0","","1","01","09","01","06","PA","1","06","T4W"
"2020039799","","04","N","3","1","","1","10","N","FORD","2001","","","","","","","","02","1FAFP55U51A","1","","1","00","Y","E","050","","","1","01","05","15","03","PA","1","01","P4D"
"2020025307","","15","N","9","4","","1","03","U","FORD","2017","","","","","","","","99","2FMPK4G97HB","1","","1","00","N","S","025","0","","1","05","07","01","98","WV","1","06","T4W"
"2020039532","","06","N","3","1","","1","11","Y","SUBA","2005","","","","","","","","02","4S4BP61C657","2","","1","00","Y","E","050","0","","1","01","04","01","03","PA","1","01","PSW"
"2020037019","","09","N","3","3","","1","12","N","UNKN","","","","","","","","","99","","1","","1","00","Y","S","025","0","","1","01","03","01","13","ZZ","1","01",""
"2020029399","","12","N","3","1","","1","02","Y","JEEP","2015","","","","","","","","01","1C4AJWAG2FL","1","","1","00","Y","W","030","0","","1","01","08","01","03","PA","1","06","T2W"
"2020010705","","04","N","3","1","","1","02","Y","TOYT","2007","","","","","","","","02","4T1BK46K07U","1","","3","00","Y","E","035","","","1","01","07","17","03","PA","1","01","P4D"
"2020007746","","41","N","3","1","","1","12","U","GMC","2006","","","","","","","","01","1GTGG25V061","1","","1","46","Y","W","030","0","","1","01","03","01","01","PA","1","07","TCG"
"2020024958","","04","N","1","1","","1","06","Y","TOYT","2005","","","","","","","","01","4T1BE30K85U","1","","1","00","N","N","000","","","3","01","01","03","01","PA","2","01","P4D"
"2020026957","","","N","","","","","","","","","U","01","99","0","U","01","U","00","","1","","","","","","","","","2","30","","99","99","","1","31",""
"2020032574","","04","N","3","1","","1","09","Y","PONT","2008","","","","","","","","01","1G2ZM577384","1","","1","00","Y","S","065","","","2","01","07","01","01","PA","3","01","P4D"
