"CRN","ACCESS_CTRL","ADJ_RDWY_SEQ","LANE_COUNT","OFFSET","RDWY_COUNTY","RDWY_ORIENT","RDWY_SEQ_NUM","ROAD_OWNER","ROUTE","SEGMENT","SPEED_LIMIT","STREET_NAME"
"2020021493","3","3","4","1144","67","N","3","2","0611","0100","30","BROAD ST"
"2020039035","3","3","3","1927","67","S","3","2","6001","0371","45","ROOSEVELT BL"
"2020072397","","4","02","","67","E","3","4","","","","LYCOMING ST"
"2020042778","1","3","3","1578","67","E","3","1","0676","0004","55","VINE STREET EX"
"2020017709","3","3","2","1831","67","E","3","2","4007","0120","30","BETHLEHEM PK"
"2020055876","3","4","2","971","67","W","4","2","3019","0091","35","PASSYUNK AV"
"2020036025","","3","01","","67","E","4","4","","","20","CUMBERLAND ST"
"2020085392","3","3","2","277","67","N","3","2","3003","0030","40","TWENTYSIXTH ST"
"2020017597","","3","02","","67","E","3","4","","","","HOFFNAGLE ST"
"2020071208","3","6","4","0","67","W","6","2","1012","0011","25","COTTMAN AV"
"2020084164","","3","99","","67","W","3","4","","","35","LINCOLN DR"
"2020087005","","4","01","","67","S","4","4","","","","FIFTEENTH ST"
"2020048714","1","3","01","650","67","W","3","2","8009","0500","20","RAMP RD"
"2020090079","3","3","4","0","67","N","3","2","0611","0060","30","BROAD ST"
"2020012436","3","3","2","406","67","N","3","2","4004","0030","35","CHEW AV"
"2020112982","","4","02","","67","S","3","4","","","","M ST"
"2020072121","3","3","3","959","67","N","3","2","0001","0240","40","ROOSEVELT BL"
"2020027594","1","3","3","1853","67","N","3","1","0095","0164","55","DELAWARE EX"
"2020081640","","4","03","","67","W","3","4","","","","HUNTING PARK AV"
"2020097910","3","6","02","0","67","S","6","2","3003","0011","40","TWENTYSIXTH ST"
"2020039326","","4","01","","67","E","5","4","","","30","WASHINGTON LN"
"2020049748","","5","01","","67","W","4","4","","","25","YORK ST"
"2020008749","3","3","03","0","67","N","3","2","3019","0020","35","ESSINGTON AV"
"2020042960","","6","02","","67","E","6","4","","","","BUIST AV"
"2020062290","3","3","2","448","67","W","3","2","2002","0050","25","SNYDER AV"
"2020061255","","3","01","","67","S","4","4","","","25","4TH ST"
"2020047379","","3","02","","67","S","4","4","","","25","4TH ST"
"2022079291","","5","02","","67","U","5","4","","","","AMERICAN ST"
"2020038766","","3","02","","67","E","4","4","","","20","WESTMORELAND ST"
"2020047532","3","3","2","1055","67","W","3","2","3017","0010","25","WHITBY AV"
"2020078103","3","3","2","225","67","E","3","2","0030","0070","30","GIRARD AV"
"2020109441","","3","02","","67","S","3","4","","","25","KREWSTOWN RD"
"2020020112","3","4","2","561","67","S","4","2","3015","0101","25","SIXTYTHIRD ST"
"2020036610","1","3","3","282","67","E","3","1","0676","0002","55","VINE STREET EX"
"2020063968","","4","01","","67","N","4","4","","","25","TWENTYTHIRD ST"
"2020012892","3","3","3","0","67","S","3","2","3004","0040","35","SIXTYTHIRD ST"
"2020033028","","4","02","","67","S","3","4","","","25","LORETTO AV"
"2020002537","3","3","02","2099","46","N","5","2","0309","0032","35","CHELTENHAM AV"
"2020005136","","4","02","","67","N","4","4","","","","WILLINGTON ST"
"2020105321","3","3","2","0","67","N","3","2","0291","0036","40","ISLAND AV"
"2020023148","3","3","1","3682","67","E","3","2","0030","0060","30","GIRARD AV"
"2020044517","","5","02","","67","N","6","4","","","20","BATTERSBY ST"
"2020014644","3","3","4","1040","67","N","3","2","0611","0080","35","BROAD ST"
"2020086217","","3","02","","67","S","4","4","","","20","16TH ST"
"2020010631","","4","02","","67","W","3","4","","","20","44TH ST"
"2020101049","","3","99","","67","N","4","4","","","25","GREENE ST"
"2020020073","","5","02","","67","N","4","4","","","25","9TH ST"
"2020086201","3","4","2","1847","67","S","4","2","0001","0021","35","CITY AV"
"2020019867","3","3","02","2199","67","N","3","2","0073","0110","35","NEW STATE RD"
"2020076532","","4","01","","67","W","3","4","","","","WESTMORELAND ST"
"2020003421","3","4","2","871","67","N","4","2","3015","0074","35","COBBS CREEK PY"
"2020078866","","3","02","","67","W","4","4","","","20","PRATT ST"
"2022012406","3","3","2","603","67","U","3","2","3009","0040","25","RIDGE AV"
"2020035406","1","3","3","2742","67","S","3","1","0095","0321","55","DELAWARE EX"
"2020112329","3","3","2","2386","67","N","3","2","3013","0040","35","ISLAND AV"
"2020013638","3","3","2","23","67","N","3","2","3007","0130","35","KELLY DR"
"2020027394","3","4","2","0","67","S","4","2","0001","0031","35","CITY AV"
"2020064873","1","3","3","1255","67","N","3","1","0095","0200","55","DELAWARE EX"
"2020036317","","4","01","","67","W","3","4","","","25","OXFORD ST"
"2020098763","3","4","1","1342","67","W","4","2","3010","0051","30","MARKET ST"
"2020083331","3","4","2","0","67","W","4","2","1011","0011","25","WILLITS RD"
"2020034164","3","3","2","619","67","S","3","2","3009","0080","35","RIDGE AV"
